"Row,Prediction"
"0,9"
"1,6"
"2,9"
"3,5"
"4,4"
"5,1"
"6,1"
"7,3"
"8,8"
"9,9"
"10,9"
"11,1"
"12,3"
"13,9"
"14,0"
"15,1"
"16,9"
"17,9"
"18,7"
"19,1"
"20,6"
"21,1"
"22,9"
"23,7"
"24,9"
"25,8"
"26,1"
"27,1"
"28,8"
"29,8"
"30,9"
"31,8"
"32,8"
"33,9"
"34,8"
"35,1"
"36,5"
"37,9"
"38,1"
"39,1"
"40,1"
"41,7"
"42,0"
"43,5"
"44,9"
"45,4"
"46,1"
"47,1"
"48,5"
"49,1"
"50,0"
"51,0"
"52,5"
"53,9"
"54,0"
"55,1"
"56,8"
"57,5"
"58,9"
"59,1"
"60,1"
"61,5"
"62,0"
"63,0"
"64,9"
"65,0"
"66,1"
"67,4"
"68,0"
"69,9"
"70,7"
"71,1"
"72,1"
"73,9"
"74,4"
"75,3"
"76,5"
"77,1"
"78,5"
"79,5"
"80,7"
"81,3"
"82,0"
"83,5"
"84,0"
"85,6"
"86,9"
"87,9"
"88,7"
"89,6"
"90,8"
"91,5"
"92,1"
"93,1"
"94,9"
"95,1"
"96,9"
"97,9"
"98,0"
"99,0"
"100,5"
"101,8"
"102,8"
"103,2"
"104,9"
"105,5"
"106,8"
"107,5"
"108,4"
"109,4"
"110,1"
"111,9"
"112,0"
"113,5"
"114,8"
"115,9"
"116,8"
"117,1"
"118,8"
"119,9"
"120,1"
"121,5"
"122,5"
"123,9"
"124,1"
"125,1"
"126,2"
"127,9"
"128,1"
"129,9"
"130,1"
"131,1"
"132,8"
"133,1"
"134,9"
"135,1"
"136,4"
"137,9"
"138,4"
"139,8"
"140,5"
"141,0"
"142,1"
"143,5"
"144,4"
"145,4"
"146,9"
"147,4"
"148,9"
"149,1"
"150,1"
"151,4"
"152,9"
"153,1"
"154,5"
"155,0"
"156,1"
"157,5"
"158,5"
"159,5"
"160,1"
"161,8"
"162,0"
"163,1"
"164,1"
"165,1"
"166,1"
"167,3"
"168,9"
"169,0"
"170,5"
"171,9"
"172,5"
"173,0"
"174,0"
"175,1"
"176,1"
"177,4"
"178,8"
"179,5"
"180,4"
"181,1"
"182,9"
"183,9"
